MarkerName	Allele1	Allele2	Freq1	FreqSE	Effect	StdErr	P-value	Direction	HetISq	HetChiSq	HetDf	HetPVal	N
loccoer_H2_alpha_dosage	a	t	0.2634	0.0097	-0.0617	0.1326	0.6419	+-	31.7	1.464	1	0.2263	458
amygdala_H2_gamma_dosage	a	t	0.3652	0.0091	-0.1138	0.0921	0.2168	--	0.0	0.352	1	0.5531	458
midfront_H2A1G2	a	t	0.1313	0.0027	0.0842	0.1903	0.6582	-+	0.0	0.418	1	0.5179	447
subnigra_H1_dosage	a	t	0.8161	0.0043	0.2403	0.1816	0.1856	++	0.0	0.207	1	0.6491	458
CA2_H1B1G2	a	t	0.1093	0.0128	-0.0171	0.2123	0.9356	-+	5.4	1.058	1	0.3038	447
CA4_H1B1G1	a	t	0.3857	0.0185	0.3111	0.1404	0.02667	++	0.6	1.006	1	0.3158	447
inforbfront_H1B1G2	a	t	0.1090	0.0130	-0.0144	0.2137	0.9462	-+	81.2	5.306	1	0.02125	447
AT8PositiveTissue.log_H1B2G1	a	t	0.2821	0.0034	-0.2727	0.1644	0.09709	+-	83.9	6.207	1	0.01272	447
subnigra_H2_alpha_dosage	a	t	0.2629	0.0099	-0.1124	0.1285	0.3817	+-	0.0	0.449	1	0.5029	458
CA2_H1B2G1	a	t	0.2827	0.0033	-0.0369	0.1471	0.8021	+-	0.0	0.204	1	0.6511	447
DementiaHx_H1B2G1	a	t	0.2816	0.0023	-0.2479	0.2125	0.2434	+-	0.0	0.948	1	0.3302	430
infpar_H1B1G1	a	t	0.3860	0.0186	0.4462	0.1431	0.001818	++	0.0	0.178	1	0.6727	447
loccoer_H2_gamma_dosage	a	t	0.3660	0.0088	-0.0901	0.0942	0.3388	+-	0.0	0.758	1	0.3841	458
infpar_H1_dosage	a	t	0.8161	0.0043	0.1499	0.1798	0.4046	++	0.0	0.006	1	0.9387	458
CA2_H2_alpha_dosage	a	t	0.2635	0.0097	-0.2126	0.1298	0.1014	--	0.0	0.032	1	0.8589	458
CA2_H1_dosage	a	t	0.8158	0.0042	0.3527	0.1859	0.05778	++	0.0	0.006	1	0.9404	458
entorhinal_H1B2G1	a	t	0.2830	0.0032	-0.2099	0.1525	0.1686	+-	73.0	3.704	1	0.05428	447
CTE_H1B1G1	a	t	0.3806	0.0151	0.2546	0.1741	0.1436	++	58.0	2.381	1	0.1228	447
CA4_H1B2G1	a	t	0.2828	0.0032	-0.0021	0.1487	0.9885	+-	66.0	2.938	1	0.08651	447
CA4_H2_alpha_dosage	a	t	0.2630	0.0099	-0.2433	0.1308	0.06286	--	0.0	0.024	1	0.877	458
CTEstage_H2A1G2	a	t	0.1312	0.0027	0.2670	0.1874	0.1543	++	0.0	0.094	1	0.7595	446
subnigra_H1B1G2	a	t	0.1091	0.0129	0.0089	0.2047	0.9654	-+	21.4	1.272	1	0.2594	447
subnigra_H1B1G1	a	t	0.3856	0.0184	0.3603	0.1364	0.00828	++	29.4	1.417	1	0.2339	447
DementiaHx_H1B1G2	a	t	0.1072	0.0113	0.0792	0.3020	0.793	+-	0.0	0.424	1	0.515	430
CTE_H2_alpha_dosage	a	t	0.2678	0.0064	0.1157	0.1695	0.4948	++	64.6	2.822	1	0.09297	458
CTE_H2A1G2	a	t	0.1324	0.0018	0.4910	0.2612	0.06018	++	37.8	1.608	1	0.2048	447
entorhinal_H1_dosage	a	t	0.8159	0.0042	0.1555	0.1881	0.4083	-+	0.0	0.461	1	0.4972	458
entorhinal_H1B1G2	a	t	0.1094	0.0127	-0.1473	0.2095	0.4819	--	0.0	0.259	1	0.6106	447
AT8PositiveTissue.log_H1_dosage	a	t	0.8167	0.0044	0.0051	0.2143	0.9811	+-	0.0	0.849	1	0.3567	458
inforbfront_H1_dosage	a	t	0.8160	0.0042	0.0327	0.1818	0.8574	++	0.0	0.000	1	0.9979	458
CA1_H1B1G1	a	t	0.3859	0.0186	0.2801	0.1407	0.0465	++	0.0	0.870	1	0.351	447
loccoer_H1B1G2	a	t	0.1093	0.0128	0.0653	0.2089	0.7547	-+	8.4	1.092	1	0.2961	447
CA4_H2A1G2	a	t	0.1312	0.0027	-0.5584	0.1977	0.004749	--	49.3	1.973	1	0.1601	447
DementiaHx_H2A1G2	a	t	0.1291	0.0014	-0.3171	0.2929	0.279	--	0.0	0.181	1	0.6705	430
CTEstage_H1B1G2	a	t	0.1078	0.0128	-0.1963	0.2075	0.3443	--	14.9	1.175	1	0.2784	446
infpar_H2_alpha_dosage	a	t	0.2626	0.0100	-0.1350	0.1264	0.2853	--	0.0	0.111	1	0.7395	458
