Subjects	Age	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
Cases	NA	4	CA1	H1_dosage*stratum	0.826	372	-0.319	0.396	0.421716355051405	0.481961548630177
All	Older	1	CA2	H1_dosage	0.829	226	0	0.268	0.999293195434223	0.999293195434223
All	Younger	1	CA2	H1_dosage	0.803	232	0.57	0.277	0.0413249090894006	0.22039951514347
Cases	Older	1	CA2	H1_dosage	0.809	173	-0.083	0.301	0.784194067157567	0.855484436899164
Cases	Younger	1	CA2	H1_dosage	0.801	140	0.808	0.33	0.016095308589295	0.154514962457232
All	Older	2	CA2	H1_dosage	0.83	192	-0.014	0.299	0.9627986840765	0.969030036403091
All	Younger	2	CA2	H1_dosage	0.809	200	0.725	0.317	0.0237839322406537	0.183168372617008
Cases	Older	2	CA2	H1_dosage	0.809	156	0.06	0.32	0.85123007855115	0.930932305800861
Cases	Younger	2	CA2	H1_dosage	0.796	127	0.969	0.359	0.00835255145712965	0.100230617485556
All	Older	3	CA2	H1_dosage*footyrs	0.83	192	0.026	0.054	0.624138571791116	0.80969328232361
All	Younger	3	CA2	H1_dosage*footyrs	0.809	200	-0.077	0.084	0.363989973244041	0.661787117481772
Cases	Older	3	CA2	H1_dosage*footyrs	0.809	156	-0.026	0.061	0.667006074274009	0.820930552952627
Cases	Younger	3	CA2	H1_dosage*footyrs	0.796	127	-0.136	0.1	0.179938922875383	0.575804553201226
All	NA	4	CA2	H1_dosage*stratum	0.832	537	-0.34	0.337	0.313591310488528	0.418121747318037
Cases	NA	4	CA2	H1_dosage*stratum	0.826	372	-0.323	0.384	0.401545282602371	0.481854339122845
All	Older	1	CA4	H1_dosage	0.829	226	-0.106	0.266	0.690290046811725	0.788902910641971
All	Younger	1	CA4	H1_dosage	0.803	232	0.853	0.275	0.00217475933688216	0.057183247009725
Cases	Older	1	CA4	H1_dosage	0.809	173	-0.012	0.309	0.968320382875736	0.999293195434223
Cases	Younger	1	CA4	H1_dosage	0.801	140	0.975	0.318	0.00268294476817243	0.057183247009725
All	Older	2	CA4	H1_dosage	0.83	192	-0.148	0.306	0.629310847260108	0.81640326131041
All	Younger	2	CA4	H1_dosage	0.809	200	0.955	0.315	0.00278383786407232	0.0668121087377357
Cases	Older	2	CA4	H1_dosage	0.809	156	0.023	0.338	0.946597562781405	0.969030036403091
Cases	Younger	2	CA4	H1_dosage	0.796	127	1.065	0.344	0.00247238018485474	0.0668121087377357
All	Older	3	CA4	H1_dosage*footyrs	0.83	192	0.137	0.056	0.0154604455463174	0.201464537672927
All	Younger	3	CA4	H1_dosage*footyrs	0.809	200	0	0.073	0.998764709937846	0.998764709937846
Cases	Older	3	CA4	H1_dosage*footyrs	0.809	156	0.079	0.063	0.214152480770296	0.595844193497795
Cases	Younger	3	CA4	H1_dosage*footyrs	0.796	127	-0.036	0.08	0.658127361843104	0.820930552952627
All	NA	4	CA4	H1_dosage*stratum	0.832	537	-0.697	0.34	0.0408138039061627	0.173305732875662
Cases	NA	4	CA4	H1_dosage*stratum	0.826	372	-0.647	0.394	0.101323726937438	0.189388152178715
All	Older	1	entorhinal	H1_dosage	0.829	226	-0.257	0.29	0.376805640420867	0.516762021148618
All	Younger	1	entorhinal	H1_dosage	0.803	232	0.454	0.257	0.07903807001914	0.245017587109449
Cases	Older	1	entorhinal	H1_dosage	0.809	173	-0.551	0.351	0.119349861361612	0.24653748581216
Cases	Younger	1	entorhinal	H1_dosage	0.801	140	0.553	0.321	0.0872784172198759	0.245524613615774
All	Older	2	entorhinal	H1_dosage	0.83	192	-0.367	0.333	0.271652467932849	0.506177747649923
All	Younger	2	entorhinal	H1_dosage	0.809	200	0.529	0.291	0.0706881318383785	0.339303032824217
Cases	Older	2	entorhinal	H1_dosage	0.809	156	-0.514	0.371	0.168018169417895	0.384041530098046
Cases	Younger	2	entorhinal	H1_dosage	0.796	127	0.769	0.342	0.0267120543399804	0.183168372617008
All	Older	3	entorhinal	H1_dosage*footyrs	0.83	192	0.084	0.062	0.177382801760761	0.575804553201226
All	Younger	3	entorhinal	H1_dosage*footyrs	0.809	200	0.068	0.067	0.310763598559365	0.661787117481772
Cases	Older	3	entorhinal	H1_dosage*footyrs	0.809	156	0.055	0.071	0.441191411654515	0.661787117481772
Cases	Younger	3	entorhinal	H1_dosage*footyrs	0.796	127	0.01	0.079	0.89559922089486	0.934538317455506
All	NA	4	entorhinal	H1_dosage*stratum	0.832	537	-0.571	0.349	0.102585249096804	0.189388152178715
Cases	NA	4	entorhinal	H1_dosage*stratum	0.826	372	-0.646	0.418	0.123133732073283	0.197013971317253
All	Older	1	inforbfront	H1_dosage	0.829	226	-0.422	0.272	0.122062644154727	0.24653748581216
All	Younger	1	inforbfront	H1_dosage	0.803	232	0.222	0.25	0.376185818538875	0.516762021148618
Cases	Older	1	inforbfront	H1_dosage	0.809	173	-0.574	0.319	0.0744120338330649	0.245017587109449
Cases	Younger	1	inforbfront	H1_dosage	0.801	140	0.174	0.297	0.56018652593327	0.696878706748494
All	Older	2	inforbfront	H1_dosage	0.83	192	-0.459	0.304	0.133241202884832	0.356859948927115
All	Younger	2	inforbfront	H1_dosage	0.809	200	0.068	0.275	0.804552028673289	0.921757497143169
Cases	Older	2	inforbfront	H1_dosage	0.809	156	-0.475	0.336	0.159278016887514	0.382267240530034
Cases	Younger	2	inforbfront	H1_dosage	0.796	127	0.058	0.31	0.853354613650789	0.930932305800861
All	Older	3	inforbfront	H1_dosage*footyrs	0.83	192	0.139	0.057	0.0167887114727439	0.201464537672927
All	Younger	3	inforbfront	H1_dosage*footyrs	0.809	200	0.059	0.059	0.320364022654214	0.661787117481772
Cases	Older	3	inforbfront	H1_dosage*footyrs	0.809	156	0.106	0.064	0.101071508851456	0.441039311351808
Cases	Younger	3	inforbfront	H1_dosage*footyrs	0.796	127	0.037	0.069	0.588036688953161	0.80969328232361
All	NA	4	inforbfront	H1_dosage*stratum	0.832	537	-0.559	0.336	0.0965140974842944	0.189388152178715
Cases	NA	4	inforbfront	H1_dosage*stratum	0.826	372	-0.566	0.4	0.157708029037089	0.236562043555633
All	Older	1	infpar	H1_dosage	0.829	226	-0.325	0.263	0.218487057501384	0.374549241430944
All	Younger	1	infpar	H1_dosage	0.803	232	0.389	0.257	0.131908111643748	0.253263574355996
Cases	Older	1	infpar	H1_dosage	0.809	173	-0.384	0.3	0.203774669188767	0.362266078557808
Cases	Younger	1	infpar	H1_dosage	0.801	140	0.278	0.305	0.363130411598549	0.516762021148618
All	Older	2	infpar	H1_dosage	0.83	192	-0.264	0.296	0.37268626349457	0.577062601539979
All	Younger	2	infpar	H1_dosage	0.809	200	0.266	0.28	0.342856594169739	0.548570550671582
Cases	Older	2	infpar	H1_dosage	0.809	156	-0.336	0.323	0.300807476199787	0.506177747649923
Cases	Younger	2	infpar	H1_dosage	0.796	127	0.329	0.318	0.30305362251827	0.506177747649923
All	Older	3	infpar	H1_dosage*footyrs	0.83	192	0.116	0.056	0.0382161732325363	0.30572938586029
All	Younger	3	infpar	H1_dosage*footyrs	0.809	200	0.034	0.058	0.56188847197135	0.80969328232361
Cases	Older	3	infpar	H1_dosage*footyrs	0.809	156	0.121	0.063	0.0579601168477855	0.347760701086713
Cases	Younger	3	infpar	H1_dosage*footyrs	0.796	127	0.014	0.065	0.833651231908366	0.908994497870626
All	NA	4	infpar	H1_dosage*stratum	0.832	537	-0.668	0.338	0.0489514398321869	0.173305732875662
Cases	NA	4	infpar	H1_dosage*stratum	0.826	372	-0.62	0.398	0.120087813958242	0.197013971317253
All	Older	1	loccoer	H1_dosage	0.829	226	0.269	0.294	0.361752448648378	0.516762021148618
All	Younger	1	loccoer	H1_dosage	0.803	232	0.255	0.264	0.336675134700045	0.516762021148618
Cases	Older	1	loccoer	H1_dosage	0.809	173	0.1	0.336	0.768067623990789	0.855484436899164
Cases	Younger	1	loccoer	H1_dosage	0.801	140	0.372	0.348	0.288813453370009	0.462101525392014
All	Older	2	loccoer	H1_dosage	0.83	192	0.084	0.338	0.805205972410531	0.921757497143169
All	Younger	2	loccoer	H1_dosage	0.809	200	0.11	0.284	0.700269648451536	0.884551134886151
Cases	Older	2	loccoer	H1_dosage	0.809	156	0.014	0.37	0.969030036403091	0.969030036403091
Cases	Younger	2	loccoer	H1_dosage	0.796	127	0.378	0.366	0.305815722538495	0.506177747649923
All	Older	3	loccoer	H1_dosage*footyrs	0.83	192	0.053	0.063	0.401125600591699	0.661787117481772
All	Younger	3	loccoer	H1_dosage*footyrs	0.809	200	-0.061	0.065	0.346486211988266	0.661787117481772
Cases	Older	3	loccoer	H1_dosage*footyrs	0.809	156	0.053	0.068	0.434056993684707	0.661787117481772
Cases	Younger	3	loccoer	H1_dosage*footyrs	0.796	127	-0.098	0.08	0.223441572561673	0.595844193497795
All	NA	4	loccoer	H1_dosage*stratum	0.832	537	-0.194	0.363	0.593759775969998	0.593759775969998
Cases	NA	4	loccoer	H1_dosage*stratum	0.826	372	-0.349	0.458	0.448030211555237	0.488760230787531
All	Older	1	midfront	H1_dosage	0.829	226	-0.405	0.276	0.143326764638707	0.264603257794536
All	Younger	1	midfront	H1_dosage	0.803	232	0.129	0.245	0.599675995411272	0.717176040335809
Cases	Older	1	midfront	H1_dosage	0.809	173	-0.64	0.328	0.052740617394015	0.245017587109449
Cases	Younger	1	midfront	H1_dosage	0.801	140	0.362	0.302	0.23244980044983	0.38474449729627
All	Older	2	midfront	H1_dosage	0.83	192	-0.393	0.315	0.213583907421552	0.431729537777378
All	Younger	2	midfront	H1_dosage	0.809	200	-0.066	0.268	0.806537810000273	0.921757497143169
Cases	Older	2	midfront	H1_dosage	0.809	156	-0.598	0.351	0.0905440855509054	0.347063959805273
Cases	Younger	2	midfront	H1_dosage	0.796	127	0.26	0.315	0.411476363208569	0.617214544812854
All	Older	3	midfront	H1_dosage*footyrs	0.83	192	0.071	0.058	0.218817178974095	0.595844193497795
All	Younger	3	midfront	H1_dosage*footyrs	0.809	200	0.052	0.062	0.403432798012125	0.661787117481772
Cases	Older	3	midfront	H1_dosage*footyrs	0.809	156	0.033	0.066	0.620923226719496	0.80969328232361
Cases	Younger	3	midfront	H1_dosage*footyrs	0.796	127	0.017	0.071	0.810764469643244	0.905039407973854
All	NA	4	midfront	H1_dosage*stratum	0.832	537	-0.621	0.339	0.0676899943810854	0.180506651682894
Cases	NA	4	midfront	H1_dosage*stratum	0.826	372	-0.75	0.406	0.0653145097385992	0.180506651682894
All	Older	1	suptemp	H1_dosage	0.829	226	-0.483	0.288	0.094576086690938	0.245524613615774
All	Younger	1	suptemp	H1_dosage	0.803	232	0.409	0.25	0.103280985057401	0.24653748581216
Cases	Older	1	suptemp	H1_dosage	0.809	173	-0.87	0.334	0.0100612446234978	0.120734935481974
Cases	Younger	1	suptemp	H1_dosage	0.801	140	0.558	0.307	0.0712985871108254	0.245017587109449
All	Older	2	suptemp	H1_dosage	0.83	192	-0.59	0.323	0.0695329665342368	0.339303032824217
All	Younger	2	suptemp	H1_dosage	0.809	200	0.291	0.275	0.290847018406604	0.506177747649923
Cases	Older	2	suptemp	H1_dosage	0.809	156	-0.748	0.354	0.0363793246540505	0.218275947924303
Cases	Younger	2	suptemp	H1_dosage	0.796	127	0.482	0.321	0.135810185972959	0.356859948927115
All	Older	3	suptemp	H1_dosage*footyrs	0.83	192	0.156	0.058	0.0081790450907282	0.196297082177477
All	Younger	3	suptemp	H1_dosage*footyrs	0.809	200	0.015	0.058	0.800878442915413	0.905039407973854
Cases	Older	3	suptemp	H1_dosage*footyrs	0.809	156	0.14	0.067	0.038095453136711	0.30572938586029
Cases	Younger	3	suptemp	H1_dosage*footyrs	0.796	127	0.004	0.067	0.955758565529612	0.976093854157902
All	NA	4	suptemp	H1_dosage*stratum	0.832	537	-0.768	0.346	0.02670829680322	0.16024978081932
Cases	NA	4	suptemp	H1_dosage*stratum	0.826	372	-1.032	0.412	0.0125944727708813	0.151133673250576
All	Older	1	CTEstage	H1_dosage	0.829	226	-0.835	0.283	0.00357395293810781	0.057183247009725
All	Younger	1	CTEstage	H1_dosage	0.802	231	0.186	0.236	0.432231356427215	0.560732570500171
Cases	Older	1	CTEstage	H1_dosage	0.809	173	-0.7	0.33	0.0356402508771065	0.22039951514347
Cases	Younger	1	CTEstage	H1_dosage	0.799	139	0.545	0.307	0.0785741426244899	0.245017587109449
All	Older	2	CTEstage	H1_dosage	0.83	192	-0.953	0.334	0.00483457212219696	0.0773531539551514
All	Younger	2	CTEstage	H1_dosage	0.809	200	0.133	0.259	0.607129873266798	0.809506497689064
Cases	Older	2	CTEstage	H1_dosage	0.809	156	-0.598	0.352	0.0914986757792158	0.347063959805273
Cases	Younger	2	CTEstage	H1_dosage	0.796	127	0.502	0.322	0.12178894319327	0.356859948927115
All	Older	3	CTEstage	H1_dosage*footyrs	0.83	192	0.13	0.066	0.0483876245914012	0.331800854341037
All	Younger	3	CTEstage	H1_dosage*footyrs	0.809	200	-0.054	0.061	0.37091689178249	0.661787117481772
Cases	Older	3	CTEstage	H1_dosage*footyrs	0.809	156	0.036	0.071	0.612256657575009	0.80969328232361
Cases	Younger	3	CTEstage	H1_dosage*footyrs	0.796	127	-0.069	0.076	0.364904268558602	0.661787117481772
All	NA	4	CTEstage	H1_dosage*stratum	0.832	536	-1.165	0.344	0.000762598745353671	0.0183023698884881
Cases	NA	4	CTEstage	H1_dosage*stratum	0.825	371	-0.939	0.404	0.0207616210664066	0.16024978081932
All	Older	1	subnigra	H1_dosage	0.829	226	-0.136	0.268	0.612587867786837	0.717176040335809
All	Younger	1	subnigra	H1_dosage	0.803	232	0.417	0.263	0.114655508111085	0.24653748581216
Cases	Older	1	subnigra	H1_dosage	0.809	173	-0.026	0.307	0.932890380247641	0.99508307226415
Cases	Younger	1	subnigra	H1_dosage	0.801	140	0.559	0.319	0.081672529036483	0.245017587109449
All	Older	2	subnigra	H1_dosage	0.83	192	-0.187	0.305	0.541375342025554	0.74245761192076
All	Younger	2	subnigra	H1_dosage	0.809	200	0.206	0.284	0.46978364983815	0.683321672491855
Cases	Older	2	subnigra	H1_dosage	0.809	156	0.034	0.33	0.917581339846369	0.969030036403091
Cases	Younger	2	subnigra	H1_dosage	0.796	127	0.551	0.333	0.101226988276538	0.347063959805273
All	Older	3	subnigra	H1_dosage*footyrs	0.83	192	0.152	0.057	0.00817396609104515	0.196297082177477
All	Younger	3	subnigra	H1_dosage*footyrs	0.809	200	-0.024	0.066	0.723424832564165	0.868109799076998
Cases	Older	3	subnigra	H1_dosage*footyrs	0.809	156	0.11	0.062	0.0801587882422949	0.384762183563016
Cases	Younger	3	subnigra	H1_dosage*footyrs	0.796	127	-0.068	0.079	0.388844901431562	0.661787117481772
All	NA	4	subnigra	H1_dosage*stratum	0.832	537	-0.436	0.34	0.201052578148476	0.283838933856672
Cases	NA	4	subnigra	H1_dosage*stratum	0.826	372	-0.266	0.399	0.504880313969579	0.526831631968256
