ID	Race
K-0643	White
K-0688	Black
K-0621	White
K-0670	Black
K-0646	White
K-0690	White
K-0622	White
K-0671	White
K-0653	White
K-0691	White
K-0625	White
K-0672	White
K-0659	White
K-0692	White
