Subjects	Age	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
All	Older	1	CA4	H1B1G1	0.424	249	0.19	0.181	0.29477039896267	0.505320683936006
All	Younger	1	CA4	H1B1G1	0.408	277	0.359	0.193	0.0638441400476906	0.301634241627622
Cases	Older	1	CA4	H1B1G1	0.429	190	0.08	0.218	0.712148648902508	0.794956631333032
Cases	Younger	1	CA4	H1B1G1	0.454	174	0.488	0.231	0.0360934766295855	0.28550076939434
All	Older	2	CA4	H1B1G1	0.432	207	0.057	0.202	0.778833502014513	0.86939553713248
All	Younger	2	CA4	H1B1G1	0.419	240	0.377	0.21	0.0742388131583345	0.356346303160006
Cases	Older	2	CA4	H1B1G1	0.432	168	-0.002	0.233	0.992839794985371	0.992839794985371
Cases	Younger	2	CA4	H1B1G1	0.466	160	0.487	0.241	0.0451164897622269	0.240621278731877
All	Older	3	CA4	H1B1G1*footyrs	0.432	207	0.032	0.039	0.410675396566613	0.982639596559024
All	Younger	3	CA4	H1B1G1*footyrs	0.419	240	-0.003	0.043	0.941486050518934	0.982639596559024
Cases	Older	3	CA4	H1B1G1*footyrs	0.432	168	0.048	0.05	0.337849889590282	0.982639596559024
Cases	Younger	3	CA4	H1B1G1*footyrs	0.466	160	0.006	0.05	0.910798564924601	0.982639596559024
All	NA	4	CA4	H1B1G1*stratum	0.415	526	-0.231	0.243	0.342594062333038	0.773755770793279
Cases	NA	4	CA4	H1B1G1*stratum	0.441	364	-0.322	0.299	0.283722549113319	0.773755770793279
All	Older	1	entorhinal	H1B1G1	0.424	249	0.106	0.189	0.574664684700985	0.707279611939674
All	Younger	1	entorhinal	H1B1G1	0.408	277	0.527	0.192	0.00657885643220801	0.105261702915328
Cases	Older	1	entorhinal	H1B1G1	0.429	190	-0.078	0.231	0.737374179214579	0.803959515327638
Cases	Younger	1	entorhinal	H1B1G1	0.454	174	0.417	0.244	0.0902991784725002	0.301634241627622
All	Older	2	entorhinal	H1B1G1	0.432	207	-0.038	0.207	0.856562542367278	0.91366671185843
All	Younger	2	entorhinal	H1B1G1	0.419	240	0.518	0.21	0.0146112828075977	0.181918876342021
Cases	Older	2	entorhinal	H1B1G1	0.432	168	-0.197	0.242	0.415822683982535	0.64385447842457
Cases	Younger	2	entorhinal	H1B1G1	0.466	160	0.415	0.255	0.106474167228813	0.453630587162724
All	Older	3	entorhinal	H1B1G1*footyrs	0.432	207	-0.002	0.041	0.966903716117923	0.982639596559024
All	Younger	3	entorhinal	H1B1G1*footyrs	0.419	240	0.014	0.041	0.736220316142528	0.982639596559024
Cases	Older	3	entorhinal	H1B1G1*footyrs	0.432	168	0.068	0.052	0.194341573028794	0.982639596559024
Cases	Younger	3	entorhinal	H1B1G1*footyrs	0.466	160	0.015	0.053	0.76989652326399	0.982639596559024
All	NA	4	entorhinal	H1B1G1*stratum	0.415	526	-0.426	0.251	0.0894010623384478	0.773755770793279
Cases	NA	4	entorhinal	H1B1G1*stratum	0.441	364	-0.333	0.313	0.287688681258409	0.773755770793279
All	Older	1	inforbfront	H1B1G1	0.424	249	0.17	0.178	0.341382540117304	0.546212064187686
All	Younger	1	inforbfront	H1B1G1	0.408	277	0.355	0.179	0.0486393916471735	0.28550076939434
Cases	Older	1	inforbfront	H1B1G1	0.429	190	0.054	0.212	0.797422217026453	0.828603107315876
Cases	Younger	1	inforbfront	H1B1G1	0.454	174	0.259	0.223	0.247294179888835	0.504259909110228
All	Older	2	inforbfront	H1B1G1	0.432	207	0.225	0.196	0.251703641997752	0.483270992635684
All	Younger	2	inforbfront	H1B1G1	0.419	240	0.476	0.195	0.0151599063618351	0.181918876342021
Cases	Older	2	inforbfront	H1B1G1	0.432	168	0.042	0.225	0.852548031496541	0.91366671185843
Cases	Younger	2	inforbfront	H1B1G1	0.466	160	0.286	0.233	0.221992978170242	0.481966034900506
All	Older	3	inforbfront	H1B1G1*footyrs	0.432	207	0.031	0.037	0.403815991710338	0.982639596559024
All	Younger	3	inforbfront	H1B1G1*footyrs	0.419	240	0.001	0.035	0.976439864845645	0.982639596559024
Cases	Older	3	inforbfront	H1B1G1*footyrs	0.432	168	0.036	0.046	0.43631938684312	0.982639596559024
Cases	Younger	3	inforbfront	H1B1G1*footyrs	0.466	160	0.014	0.045	0.754118595241102	0.982639596559024
All	NA	4	inforbfront	H1B1G1*stratum	0.415	526	-0.341	0.24	0.156038657874773	0.773755770793279
Cases	NA	4	inforbfront	H1B1G1*stratum	0.441	364	-0.24	0.297	0.419117709179693	0.773755770793279
All	Older	1	infpar	H1B1G1	0.424	249	0.153	0.179	0.395363264398375	0.575352283312905
All	Younger	1	infpar	H1B1G1	0.408	277	0.572	0.184	0.00210629047745936	0.0748608467335289
Cases	Older	1	infpar	H1B1G1	0.429	190	0.149	0.215	0.488918009958238	0.634272012918795
Cases	Younger	1	infpar	H1B1G1	0.454	174	0.381	0.226	0.0937996505035581	0.301634241627622
All	Older	2	infpar	H1B1G1	0.432	207	0.238	0.198	0.230942058389826	0.481966034900506
All	Younger	2	infpar	H1B1G1	0.419	240	0.614	0.198	0.00216170648740799	0.0518809556977918
Cases	Older	2	infpar	H1B1G1	0.432	168	0.208	0.231	0.370787638843445	0.593260222149512
Cases	Younger	2	infpar	H1B1G1	0.466	160	0.353	0.236	0.136136541403651	0.481966034900506
All	Older	3	infpar	H1B1G1*footyrs	0.432	207	-0.005	0.037	0.890651653660736	0.982639596559024
All	Younger	3	infpar	H1B1G1*footyrs	0.419	240	-0.047	0.037	0.200962048616271	0.982639596559024
Cases	Older	3	infpar	H1B1G1*footyrs	0.432	168	0.005	0.045	0.90482209106477	0.982639596559024
Cases	Younger	3	infpar	H1B1G1*footyrs	0.466	160	-0.003	0.045	0.944816752816976	0.982639596559024
All	NA	4	infpar	H1B1G1*stratum	0.415	526	-0.403	0.243	0.0974010447984979	0.773755770793279
Cases	NA	4	infpar	H1B1G1*stratum	0.441	364	-0.185	0.298	0.534204103331532	0.805057441105173
All	Older	1	loccoer	H1B1G1	0.424	249	0.161	0.187	0.391409694708537	0.575352283312905
All	Younger	1	loccoer	H1B1G1	0.408	277	0.195	0.181	0.283646198874503	0.504259909110228
Cases	Older	1	loccoer	H1B1G1	0.429	190	0.116	0.224	0.605043279552252	0.708343351670929
Cases	Younger	1	loccoer	H1B1G1	0.454	174	-0.17	0.241	0.482609838465523	0.634272012918795
All	Older	2	loccoer	H1B1G1	0.432	207	0.136	0.208	0.514111673472996	0.758669803154279
All	Younger	2	loccoer	H1B1G1	0.419	240	0.08	0.198	0.686368187295228	0.83275584744343
Cases	Older	2	loccoer	H1B1G1	0.432	168	0.093	0.236	0.693627435110817	0.83275584744343
Cases	Younger	2	loccoer	H1B1G1	0.466	160	-0.325	0.254	0.202532208632084	0.481966034900506
All	Older	3	loccoer	H1B1G1*footyrs	0.432	207	-0.004	0.042	0.931502878133032	0.982639596559024
All	Younger	3	loccoer	H1B1G1*footyrs	0.419	240	-0.021	0.038	0.578363971082112	0.982639596559024
Cases	Older	3	loccoer	H1B1G1*footyrs	0.432	168	0.031	0.051	0.549533335900813	0.982639596559024
Cases	Younger	3	loccoer	H1B1G1*footyrs	0.466	160	-0.022	0.05	0.654155213127912	0.982639596559024
All	NA	4	loccoer	H1B1G1*stratum	0.415	526	-0.077	0.251	0.757938568005541	0.995022174908658
Cases	NA	4	loccoer	H1B1G1*stratum	0.441	364	0.283	0.32	0.377905155693028	0.773755770793279
All	Older	1	midfront	H1B1G1	0.424	249	0.223	0.183	0.225303077312044	0.504259909110228
All	Younger	1	midfront	H1B1G1	0.408	277	0.352	0.175	0.0451893538924977	0.28550076939434
Cases	Older	1	midfront	H1B1G1	0.429	190	0.172	0.221	0.436523428241087	0.616268369281535
Cases	Younger	1	midfront	H1B1G1	0.454	174	0.095	0.218	0.664877936378963	0.759860498718815
All	Older	2	midfront	H1B1G1	0.432	207	0.303	0.205	0.141091021667672	0.481966034900506
All	Younger	2	midfront	H1B1G1	0.419	240	0.405	0.189	0.0332003896426394	0.203230528165442
Cases	Older	2	midfront	H1B1G1	0.432	168	0.216	0.236	0.361826728395031	0.593260222149512
Cases	Younger	2	midfront	H1B1G1	0.466	160	0.107	0.229	0.641176776841693	0.831796899686521
All	Older	3	midfront	H1B1G1*footyrs	0.432	207	0.044	0.04	0.265914794469166	0.982639596559024
All	Younger	3	midfront	H1B1G1*footyrs	0.419	240	0.015	0.037	0.687830132374356	0.982639596559024
Cases	Older	3	midfront	H1B1G1*footyrs	0.432	168	0.043	0.048	0.370999204689419	0.982639596559024
Cases	Younger	3	midfront	H1B1G1*footyrs	0.466	160	0.078	0.048	0.106708466392238	0.982639596559024
All	NA	4	midfront	H1B1G1*stratum	0.415	526	-0.254	0.241	0.292351754979606	0.773755770793279
Cases	NA	4	midfront	H1B1G1*stratum	0.441	364	-0.048	0.299	0.871221169322475	0.995022174908658
All	Older	1	suptemp	H1B1G1	0.424	249	0.331	0.185	0.0748667245544303	0.301634241627622
All	Younger	1	suptemp	H1B1G1	0.408	277	0.542	0.182	0.00311920194723037	0.0748608467335289
Cases	Older	1	suptemp	H1B1G1	0.429	190	0.189	0.222	0.395554694777622	0.575352283312905
Cases	Younger	1	suptemp	H1B1G1	0.454	174	0.441	0.227	0.0535313942614388	0.28550076939434
All	Older	2	suptemp	H1B1G1	0.432	207	0.262	0.203	0.198704374640482	0.481966034900506
All	Younger	2	suptemp	H1B1G1	0.419	240	0.67	0.2	0.000983621789775846	0.0472138459092406
Cases	Older	2	suptemp	H1B1G1	0.432	168	0.124	0.232	0.591826825114483	0.789102433485977
Cases	Younger	2	suptemp	H1B1G1	0.466	160	0.531	0.24	0.0283832337277745	0.203230528165442
All	Older	3	suptemp	H1B1G1*footyrs	0.432	207	0.001	0.038	0.980884917504306	0.982639596559024
All	Younger	3	suptemp	H1B1G1*footyrs	0.419	240	-0.008	0.037	0.821950206814765	0.982639596559024
Cases	Older	3	suptemp	H1B1G1*footyrs	0.432	168	-0.002	0.048	0.966210415550829	0.982639596559024
Cases	Younger	3	suptemp	H1B1G1*footyrs	0.466	160	0.009	0.047	0.846205673423985	0.982639596559024
All	NA	4	suptemp	H1B1G1*stratum	0.415	526	-0.336	0.244	0.168672636649321	0.773755770793279
Cases	NA	4	suptemp	H1B1G1*stratum	0.441	364	-0.194	0.301	0.519808551081308	0.805057441105173
All	Older	1	CTEstage	H1B1G1	0.424	249	0.199	0.18	0.27203543225968	0.504259909110228
All	Younger	1	CTEstage	H1B1G1	0.408	276	0.436	0.175	0.0135695810895657	0.162834973074788
Cases	Older	1	CTEstage	H1B1G1	0.429	190	0.259	0.226	0.251794548341432	0.504259909110228
Cases	Younger	1	CTEstage	H1B1G1	0.454	173	0.294	0.231	0.205043761371004	0.504259909110228
All	Older	2	CTEstage	H1B1G1	0.432	207	0.065	0.205	0.750220827308305	0.86939553713248
All	Younger	2	CTEstage	H1B1G1	0.419	240	0.402	0.188	0.0338717546942404	0.203230528165442
Cases	Older	2	CTEstage	H1B1G1	0.432	168	0.332	0.251	0.186699144838582	0.481966034900506
Cases	Younger	2	CTEstage	H1B1G1	0.466	160	0.295	0.242	0.224400944610686	0.481966034900506
All	Older	3	CTEstage	H1B1G1*footyrs	0.432	207	-0.015	0.044	0.7344801126036	0.982639596559024
All	Younger	3	CTEstage	H1B1G1*footyrs	0.419	240	-0.047	0.037	0.198870411644068	0.982639596559024
Cases	Older	3	CTEstage	H1B1G1*footyrs	0.432	168	0.055	0.058	0.351261166159124	0.982639596559024
Cases	Younger	3	CTEstage	H1B1G1*footyrs	0.466	160	-0.036	0.048	0.460789654250796	0.982639596559024
All	NA	4	CTEstage	H1B1G1*stratum	0.415	525	-0.23	0.242	0.343536334256163	0.773755770793279
Cases	NA	4	CTEstage	H1B1G1*stratum	0.441	363	-0.013	0.301	0.966469097108711	0.995022174908658
All	Older	1	subnigra	H1B1G1	0.424	249	0.296	0.175	0.0929398716156267	0.301634241627622
All	Younger	1	subnigra	H1B1G1	0.408	277	0.199	0.182	0.273646171582949	0.504259909110228
Cases	Older	1	subnigra	H1B1G1	0.429	190	0.258	0.208	0.214916265147976	0.504259909110228
Cases	Younger	1	subnigra	H1B1G1	0.454	174	0.027	0.226	0.906522657337967	0.906522657337967
All	Older	2	subnigra	H1B1G1	0.432	207	0.305	0.192	0.113407646790681	0.453630587162724
All	Younger	2	subnigra	H1B1G1	0.419	240	0.212	0.196	0.280501746209659	0.517849377617832
Cases	Older	2	subnigra	H1B1G1	0.432	168	0.207	0.216	0.340358232261444	0.593260222149512
Cases	Younger	2	subnigra	H1B1G1	0.466	160	0.015	0.234	0.94954283792962	0.969745877034505
All	Older	3	subnigra	H1B1G1*footyrs	0.432	207	0.002	0.038	0.952086773888421	0.982639596559024
All	Younger	3	subnigra	H1B1G1*footyrs	0.419	240	-0.064	0.041	0.118603337876126	0.982639596559024
Cases	Older	3	subnigra	H1B1G1*footyrs	0.432	168	0.046	0.047	0.328928970619599	0.982639596559024
Cases	Younger	3	subnigra	H1B1G1*footyrs	0.466	160	-0.081	0.05	0.107548721567879	0.982639596559024
All	NA	4	subnigra	H1B1G1*stratum	0.415	526	-0.043	0.237	0.85605120509511	0.995022174908658
Cases	NA	4	subnigra	H1B1G1*stratum	0.441	364	0.064	0.29	0.825313138332737	0.995022174908658
