Subjects	Age	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
All	Younger	2	entorhinal	H2_gamma_dosage	0.326	245	-0.207	0.136	0.128130384746319	0.332051215277782
Cases	Older	2	entorhinal	H2_gamma_dosage	0.365	172	0.282	0.176	0.111407859148723	0.332051215277782
Cases	Younger	2	entorhinal	H2_gamma_dosage	0.33	163	-0.352	0.158	0.0273037124304432	0.189746210861956
All	Older	3	entorhinal	H2_gamma_dosage*footyrs	0.326	211	-0.04	0.03	0.18251887076828	0.59383509874376
All	Younger	3	entorhinal	H2_gamma_dosage*footyrs	0.326	245	-0.041	0.029	0.165740267980264	0.59383509874376
Cases	Older	3	entorhinal	H2_gamma_dosage*footyrs	0.365	172	-0.032	0.034	0.351528603668609	0.624939739855305
Cases	Younger	3	entorhinal	H2_gamma_dosage*footyrs	0.33	163	-0.015	0.035	0.669097328169358	0.76468266076498
All	NA	4	entorhinal	H2_gamma_dosage*stratum	0.333	537	0.28	0.175	0.110689659542	0.198123353745325
Cases	NA	4	entorhinal	H2_gamma_dosage*stratum	0.346	372	0.324	0.21	0.123788233955534	0.198123353745325
All	Older	1	inforbfront	H2_gamma_dosage	0.328	253	0.222	0.13	0.0886425977810672	0.167174430627565
All	Younger	1	inforbfront	H2_gamma_dosage	0.337	284	-0.117	0.117	0.31908794572162	0.437606325561079
Cases	Older	1	inforbfront	H2_gamma_dosage	0.367	194	0.309	0.151	0.0432522043378947	0.145632007792769
Cases	Younger	1	inforbfront	H2_gamma_dosage	0.324	178	-0.117	0.14	0.4025236306811	0.522192818180886
All	Older	2	inforbfront	H2_gamma_dosage	0.326	211	0.233	0.146	0.112562142984639	0.332051215277782
All	Younger	2	inforbfront	H2_gamma_dosage	0.326	245	-0.013	0.127	0.918881281895067	0.95546910688752
Cases	Older	2	inforbfront	H2_gamma_dosage	0.365	172	0.239	0.161	0.138354673032409	0.332051215277782
Cases	Younger	2	inforbfront	H2_gamma_dosage	0.33	163	-0.05	0.146	0.732181677395265	0.878618012874318
All	Older	3	inforbfront	H2_gamma_dosage*footyrs	0.326	211	-0.063	0.028	0.0233842112897245	0.313467918131771
All	Younger	3	inforbfront	H2_gamma_dosage*footyrs	0.326	245	-0.027	0.026	0.293297241917722	0.624939739855305
Cases	Older	3	inforbfront	H2_gamma_dosage*footyrs	0.365	172	-0.039	0.03	0.205205534912499	0.615616604737497
Cases	Younger	3	inforbfront	H2_gamma_dosage*footyrs	0.33	163	-0.027	0.031	0.379089516948895	0.627458510811964
All	NA	4	inforbfront	H2_gamma_dosage*stratum	0.333	537	0.267	0.168	0.113303276344284	0.198123353745325
Cases	NA	4	inforbfront	H2_gamma_dosage*stratum	0.346	372	0.271	0.2	0.176075049616982	0.264112574425473
All	Older	1	infpar	H2_gamma_dosage	0.328	253	0.178	0.128	0.163118514724777	0.260989623559643
All	Younger	1	infpar	H2_gamma_dosage	0.337	284	-0.218	0.12	0.0713137526174132	0.167174430627565
Cases	Older	1	infpar	H2_gamma_dosage	0.367	194	0.208	0.144	0.150907336782665	0.249777660881652
Cases	Younger	1	infpar	H2_gamma_dosage	0.324	178	-0.217	0.145	0.136105347145018	0.233323452248602
All	Older	2	infpar	H2_gamma_dosage	0.326	211	0.144	0.143	0.317197241747589	0.495867015127418
All	Younger	2	infpar	H2_gamma_dosage	0.326	245	-0.116	0.13	0.375269087002781	0.545845944731318
Cases	Older	2	infpar	H2_gamma_dosage	0.365	172	0.172	0.156	0.272373468190282	0.495867015127418
Cases	Younger	2	infpar	H2_gamma_dosage	0.33	163	-0.209	0.15	0.16671743914957	0.359974634176362
All	Older	3	infpar	H2_gamma_dosage*footyrs	0.326	211	-0.049	0.027	0.0688159397985377	0.521339891900387
All	Younger	3	infpar	H2_gamma_dosage*footyrs	0.326	245	-0.016	0.026	0.532050554381303	0.751130194420663
Cases	Older	3	infpar	H2_gamma_dosage*footyrs	0.365	172	-0.042	0.03	0.159364412073693	0.59383509874376
Cases	Younger	3	infpar	H2_gamma_dosage*footyrs	0.33	163	-0.014	0.03	0.651758826605558	0.76468266076498
All	NA	4	infpar	H2_gamma_dosage*stratum	0.333	537	0.331	0.17	0.051667674240921	0.184151117864618
Cases	NA	4	infpar	H2_gamma_dosage*stratum	0.346	372	0.308	0.2	0.123827096090828	0.198123353745325
All	Older	1	loccoer	H2_gamma_dosage	0.328	253	-0.093	0.139	0.506869414533045	0.608243297439654
All	Younger	1	loccoer	H2_gamma_dosage	0.337	284	-0.168	0.125	0.181077963415978	0.28037878206345
Cases	Older	1	loccoer	H2_gamma_dosage	0.367	194	-0.016	0.158	0.921879251882149	0.983442600305641
Cases	Younger	1	loccoer	H2_gamma_dosage	0.324	178	-0.193	0.161	0.234145478027091	0.351218217040636
All	Older	2	loccoer	H2_gamma_dosage	0.326	211	-0.027	0.16	0.865461202528294	0.94413949366723
All	Younger	2	loccoer	H2_gamma_dosage	0.326	245	-0.072	0.136	0.599387258672922	0.799183011563896
Cases	Older	2	loccoer	H2_gamma_dosage	0.365	172	-0.005	0.174	0.978441518643002	0.978441518643002
Cases	Younger	2	loccoer	H2_gamma_dosage	0.33	163	-0.173	0.167	0.3040864860639	0.495867015127418
All	Older	3	loccoer	H2_gamma_dosage*footyrs	0.326	211	-0.029	0.03	0.346592893416056	0.624939739855305
All	Younger	3	loccoer	H2_gamma_dosage*footyrs	0.326	245	0.005	0.029	0.849198216303495	0.91826996889778
Cases	Older	3	loccoer	H2_gamma_dosage*footyrs	0.365	172	-0.024	0.033	0.463420365903051	0.704109438661351
Cases	Younger	3	loccoer	H2_gamma_dosage*footyrs	0.33	163	0.036	0.036	0.314598811384081	0.624939739855305
All	NA	4	loccoer	H2_gamma_dosage*stratum	0.333	537	0.086	0.182	0.639763273450865	0.639763273450865
Cases	NA	4	loccoer	H2_gamma_dosage*stratum	0.346	372	0.17	0.23	0.461977463337507	0.503975414550008
All	Older	1	midfront	H2_gamma_dosage	0.328	253	0.232	0.133	0.0823591814321274	0.167174430627565
All	Younger	1	midfront	H2_gamma_dosage	0.337	284	-0.106	0.115	0.357652881816878	0.476870509089171
Cases	Older	1	midfront	H2_gamma_dosage	0.367	194	0.342	0.157	0.0304520535360342	0.13288168815724
Cases	Younger	1	midfront	H2_gamma_dosage	0.324	178	-0.163	0.141	0.250112151263556	0.353099507666197
All	Older	2	midfront	H2_gamma_dosage	0.326	211	0.238	0.152	0.118942875058377	0.332051215277782
All	Younger	2	midfront	H2_gamma_dosage	0.326	245	0.028	0.126	0.822660234429752	0.929801582411897
Cases	Older	2	midfront	H2_gamma_dosage	0.365	172	0.314	0.168	0.0640105719323003	0.279318859340947
Cases	Younger	2	midfront	H2_gamma_dosage	0.33	163	-0.099	0.147	0.500893345080264	0.686939444681505
All	Older	3	midfront	H2_gamma_dosage*footyrs	0.326	211	-0.033	0.028	0.239457885103078	0.624939739855305
All	Younger	3	midfront	H2_gamma_dosage*footyrs	0.326	245	-0.016	0.028	0.569207682667535	0.754083375724503
Cases	Older	3	midfront	H2_gamma_dosage*footyrs	0.365	172	-0.006	0.032	0.860878095841669	0.91826996889778
Cases	Younger	3	midfront	H2_gamma_dosage*footyrs	0.33	163	0.003	0.032	0.920373597213573	0.939956014175564
All	NA	4	midfront	H2_gamma_dosage*stratum	0.333	537	0.305	0.17	0.0735406981834834	0.196108528489289
Cases	NA	4	midfront	H2_gamma_dosage*stratum	0.346	372	0.37	0.204	0.0703125568329224	0.196108528489289
All	Older	1	suptemp	H2_gamma_dosage	0.328	253	0.257	0.137	0.0624881785136699	0.167174430627565
All	Younger	1	suptemp	H2_gamma_dosage	0.337	284	-0.21	0.117	0.0733690076146032	0.167174430627565
Cases	Older	1	suptemp	H2_gamma_dosage	0.367	194	0.439	0.158	0.0062142596035879	0.0745711152430548
Cases	Younger	1	suptemp	H2_gamma_dosage	0.324	178	-0.296	0.143	0.0408249733486565	0.145632007792769
All	Older	2	suptemp	H2_gamma_dosage	0.326	211	0.324	0.156	0.0393527442073336	0.213635028552625
All	Younger	2	suptemp	H2_gamma_dosage	0.326	245	-0.131	0.128	0.305822245776733	0.495867015127418
Cases	Older	2	suptemp	H2_gamma_dosage	0.365	172	0.388	0.17	0.0239785355214519	0.189746210861956
Cases	Younger	2	suptemp	H2_gamma_dosage	0.33	163	-0.27	0.149	0.0722322482352178	0.288928992940871
All	Older	3	suptemp	H2_gamma_dosage*footyrs	0.326	211	-0.073	0.028	0.0107719689097263	0.258527253833431
All	Younger	3	suptemp	H2_gamma_dosage*footyrs	0.326	245	-0.011	0.026	0.667780648227983	0.76468266076498
Cases	Older	3	suptemp	H2_gamma_dosage*footyrs	0.365	172	-0.059	0.032	0.0661290912751378	0.521339891900387
Cases	Younger	3	suptemp	H2_gamma_dosage*footyrs	0.33	163	-0.003	0.031	0.911974069555976	0.939956014175564
All	NA	4	suptemp	H2_gamma_dosage*stratum	0.333	537	0.376	0.174	0.0307349474570917	0.184151117864618
Cases	NA	4	suptemp	H2_gamma_dosage*stratum	0.346	372	0.51	0.206	0.0139257897930336	0.167109477516403
All	Older	1	CTEstage	H2_gamma_dosage	0.328	253	0.436	0.136	0.00153451871005217	0.0433917104521058
All	Younger	1	CTEstage	H2_gamma_dosage	0.338	283	-0.189	0.112	0.093721960447557	0.167174430627565
Cases	Older	1	CTEstage	H2_gamma_dosage	0.367	194	0.363	0.158	0.0226287483463059	0.108617992062268
Cases	Younger	1	CTEstage	H2_gamma_dosage	0.326	177	-0.339	0.146	0.021757986045069	0.108617992062268
All	Older	2	CTEstage	H2_gamma_dosage	0.326	211	0.492	0.158	0.00208067687139035	0.0998724898267368
All	Younger	2	CTEstage	H2_gamma_dosage	0.326	245	-0.123	0.124	0.320247447269791	0.495867015127418
Cases	Older	2	CTEstage	H2_gamma_dosage	0.365	172	0.317	0.17	0.0634646457499066	0.279318859340947
Cases	Younger	2	CTEstage	H2_gamma_dosage	0.33	163	-0.261	0.152	0.0885703717709923	0.327029065000587
All	Older	3	CTEstage	H2_gamma_dosage*footyrs	0.326	211	-0.042	0.032	0.184704368633257	0.59383509874376
All	Younger	3	CTEstage	H2_gamma_dosage*footyrs	0.326	245	0.024	0.028	0.394816895702915	0.631707033124664
Cases	Older	3	CTEstage	H2_gamma_dosage*footyrs	0.365	172	-0.019	0.035	0.576056054942791	0.754083375724503
Cases	Younger	3	CTEstage	H2_gamma_dosage*footyrs	0.33	163	0.039	0.035	0.268077957670091	0.624939739855305
All	NA	4	CTEstage	H2_gamma_dosage*stratum	0.334	536	0.575	0.173	0.000919383708351873	0.022065209000445
Cases	NA	4	CTEstage	H2_gamma_dosage*stratum	0.347	371	0.462	0.203	0.0234694259319805	0.184151117864618
All	Older	1	subnigra	H2_gamma_dosage	0.328	253	0.104	0.128	0.419730365029879	0.530185724248268
All	Younger	1	subnigra	H2_gamma_dosage	0.337	284	-0.222	0.125	0.0755746417794205	0.167174430627565
Cases	Older	1	subnigra	H2_gamma_dosage	0.367	194	0.059	0.145	0.684878799900662	0.779320595369619
Cases	Younger	1	subnigra	H2_gamma_dosage	0.324	178	-0.262	0.15	0.0820370804710713	0.167174430627565
All	Older	2	subnigra	H2_gamma_dosage	0.326	211	0.135	0.146	0.356531973913213	0.534797960869819
All	Younger	2	subnigra	H2_gamma_dosage	0.326	245	-0.064	0.133	0.630143939049245	0.810387685837842
Cases	Older	2	subnigra	H2_gamma_dosage	0.365	172	0.015	0.157	0.925782340794755	0.95546910688752
Cases	Younger	2	subnigra	H2_gamma_dosage	0.33	163	-0.205	0.155	0.186430109357216	0.372860218714432
All	Older	3	subnigra	H2_gamma_dosage*footyrs	0.326	211	-0.073	0.028	0.00979652782632767	0.258527253833431
All	Younger	3	subnigra	H2_gamma_dosage*footyrs	0.326	245	0.016	0.03	0.581272602120971	0.754083375724503
Cases	Older	3	subnigra	H2_gamma_dosage*footyrs	0.365	172	-0.054	0.031	0.0805744099868724	0.521339891900387
Cases	Younger	3	subnigra	H2_gamma_dosage*footyrs	0.33	163	0.036	0.035	0.306454387844233	0.624939739855305
All	NA	4	subnigra	H2_gamma_dosage*stratum	0.333	537	0.214	0.171	0.212634995577816	0.300190581992211
Cases	NA	4	subnigra	H2_gamma_dosage*stratum	0.346	372	0.127	0.2	0.526142362089208	0.549018116962652
