Subjects	Age	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
All	Older	2	midfront	H2A1G2	0.118	207	0.342	0.322	0.290350418321505	0.604792211813241
All	Younger	2	midfront	H2A1G2	0.11	240	0.057	0.286	0.841123804377668	0.877694404568001
Cases	Older	2	midfront	H2A1G2	0.143	168	0.483	0.343	0.160810053995263	0.416593004659928
Cases	Younger	2	midfront	H2A1G2	0.116	160	-0.203	0.348	0.560250701252458	0.740757320986709
All	Older	3	midfront	H2A1G2*footyrs	0.118	207	-0.053	0.056	0.349606588401256	0.839589119752455
All	Younger	3	midfront	H2A1G2*footyrs	0.11	240	-0.004	0.062	0.952685931587928	0.952685931587928
Cases	Older	3	midfront	H2A1G2*footyrs	0.143	168	0.013	0.061	0.828694305571602	0.91379300339395
Cases	Younger	3	midfront	H2A1G2*footyrs	0.116	160	0.025	0.078	0.749897080990284	0.899876497188341
All	NA	4	midfront	H2A1G2*stratum	0.119	526	0.407	0.363	0.262447850662001	0.441356727318886
Cases	NA	4	midfront	H2A1G2*stratum	0.13	364	0.599	0.441	0.175038837089278	0.41875564156727
All	Older	1	suptemp	H2A1G2	0.124	249	0.465	0.287	0.106964703372819	0.235966798734009
All	Younger	1	suptemp	H2A1G2	0.114	277	-0.346	0.264	0.192433669236248	0.342104300864441
Cases	Older	1	suptemp	H2A1G2	0.145	190	0.799	0.328	0.0159608206702053	0.127686565361642
Cases	Younger	1	suptemp	H2A1G2	0.115	174	-0.498	0.329	0.132223674093458	0.254472766327562
All	Older	2	suptemp	H2A1G2	0.118	207	0.68	0.337	0.0451439661746327	0.245751208304341
All	Younger	2	suptemp	H2A1G2	0.11	240	-0.272	0.292	0.352216227514441	0.611745390725103
Cases	Older	2	suptemp	H2A1G2	0.143	168	0.732	0.357	0.0422839593503395	0.245751208304341
Cases	Younger	2	suptemp	H2A1G2	0.116	160	-0.55	0.347	0.115404137057191	0.357117024522376
All	Older	3	suptemp	H2A1G2*footyrs	0.118	207	-0.118	0.057	0.0416582814374551	0.399919501799569
All	Younger	3	suptemp	H2A1G2*footyrs	0.11	240	-0.027	0.057	0.639948408227871	0.899876497188341
Cases	Older	3	suptemp	H2A1G2*footyrs	0.143	168	-0.062	0.061	0.315355010405362	0.839589119752455
Cases	Younger	3	suptemp	H2A1G2*footyrs	0.116	160	-0.028	0.071	0.693204600128324	0.899876497188341
All	NA	4	suptemp	H2A1G2*stratum	0.119	526	0.607	0.374	0.105480131611187	0.36164616552407
Cases	NA	4	suptemp	H2A1G2*stratum	0.13	364	0.825	0.446	0.0655454858383684	0.314618332024168
All	Older	1	CTEstage	H2A1G2	0.124	249	0.813	0.273	0.0031756460182959	0.104971324333445
All	Younger	1	CTEstage	H2A1G2	0.114	276	-0.299	0.251	0.234240741156076	0.362695341144892
Cases	Older	1	CTEstage	H2A1G2	0.145	190	0.63	0.319	0.0499735803726402	0.206093327128521
Cases	Younger	1	CTEstage	H2A1G2	0.116	173	-0.856	0.34	0.012929072798189	0.124119098862614
All	Older	2	CTEstage	H2A1G2	0.118	207	0.97	0.327	0.00340921062345023	0.163642109925611
All	Younger	2	CTEstage	H2A1G2	0.11	240	-0.142	0.281	0.614047351176845	0.740757320986709
Cases	Older	2	CTEstage	H2A1G2	0.143	168	0.338	0.341	0.323278404223299	0.604792211813241
Cases	Younger	2	CTEstage	H2A1G2	0.116	160	-0.724	0.36	0.046078351557064	0.245751208304341
All	Older	3	CTEstage	H2A1G2*footyrs	0.118	207	-0.108	0.061	0.076226347106048	0.522694951584329
All	Younger	3	CTEstage	H2A1G2*footyrs	0.11	240	0.061	0.066	0.353984599340371	0.839589119752455
Cases	Older	3	CTEstage	H2A1G2*footyrs	0.143	168	-0.033	0.066	0.611385526038759	0.899876497188341
Cases	Younger	3	CTEstage	H2A1G2*footyrs	0.116	160	0.086	0.095	0.366387786919589	0.839589119752455
All	NA	4	CTEstage	H2A1G2*stratum	0.119	525	0.97	0.362	0.00755257568610812	0.181261816466595
Cases	NA	4	CTEstage	H2A1G2*stratum	0.131	363	0.86	0.432	0.0474739565316762	0.292704317242874
All	Older	1	subnigra	H2A1G2	0.124	249	-0.118	0.262	0.652261477376072	0.711557975319351
All	Younger	1	subnigra	H2A1G2	0.114	277	-0.476	0.275	0.0851195614778013	0.230055940904086
Cases	Older	1	subnigra	H2A1G2	0.145	190	-0.117	0.296	0.693383692641732	0.739609272151181
Cases	Younger	1	subnigra	H2A1G2	0.115	174	-0.65	0.331	0.0515233317821302	0.206093327128521
All	Older	2	subnigra	H2A1G2	0.118	207	-0.128	0.31	0.680178047232753	0.76144208383713
All	Younger	2	subnigra	H2A1G2	0.11	240	-0.229	0.299	0.443551854434124	0.651684482993497
Cases	Older	2	subnigra	H2A1G2	0.143	168	-0.261	0.329	0.42958024868188	0.651684482993497
Cases	Younger	2	subnigra	H2A1G2	0.116	160	-0.604	0.35	0.0866467046762758	0.357117024522376
All	Older	3	subnigra	H2A1G2*footyrs	0.118	207	-0.115	0.053	0.0301054111668513	0.399919501799569
All	Younger	3	subnigra	H2A1G2*footyrs	0.11	240	-0.041	0.063	0.518355038877376	0.857966960900484
Cases	Older	3	subnigra	H2A1G2*footyrs	0.143	168	-0.086	0.057	0.132077985419228	0.658798789322875
Cases	Younger	3	subnigra	H2A1G2*footyrs	0.116	160	-0.039	0.077	0.615460978478553	0.899876497188341
All	NA	4	subnigra	H2A1G2*stratum	0.119	526	0.177	0.361	0.623329795106339	0.757364993939352
Cases	NA	4	subnigra	H2A1G2*stratum	0.13	364	0.124	0.425	0.771032143646342	0.794301839165841
