Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR	Perm_P
All	1	infpar	H1B1G2	0.107	445	-0.075	0.203	0.712777665060992	0.999219715525351	1
All	1	loccoer	H1B1G2	0.107	445	0.09	0.202	0.658499570316667	0.999219715525351	1
All	1	midfront	H1B1G2	0.107	445	-0.096	0.2	0.63180161239344	0.999219715525351	0.999
All	1	suptemp	H1B1G2	0.107	445	-0.222	0.202	0.272822519430968	0.68595376314072	0.832
All	1	CTEstage	H1B1G2	0.106	444	-0.202	0.203	0.320328336406375	0.625314101644104	0.724
All	1	subnigra	H1B1G2	0.107	445	0	0.202	0.999219715525351	0.999219715525351	1
All	1	AT8PositiveTissue	H1B1G2	0.107	445	0.23	0.182	0.207157218675906	0.473502214116357	0.533
All	1	CTE	H1B1G3	0.046	445	-0.158	0.377	0.675807158411329	0.865033162766501	0.985
All	1	DementiaHx	H1B1G3	0.046	428	-0.726	0.414	0.0799185635272803	0.319674254109121	0.219
All	1	amygdala	H1B1G3	0.046	445	-0.038	0.315	0.90445877794973	0.999219715525351	1
All	1	CA1	H1B1G3	0.046	445	-0.446	0.308	0.149414218860912	0.486979676287417	0.594
All	1	CA2	H1B1G3	0.046	445	-0.001	0.329	0.99870777672602	0.999219715525351	1
All	1	CA4	H1B1G3	0.046	445	-0.437	0.338	0.19654176827969	0.576522520287091	0.711
All	1	entorhinal	H1B1G3	0.046	445	-0.317	0.33	0.336804467053647	0.801048462181647	0.923
All	1	inforbfront	H1B1G3	0.046	445	-0.131	0.316	0.679323051295581	0.999219715525351	1
All	1	infpar	H1B1G3	0.046	445	-0.247	0.315	0.433566404719366	0.87932280190647	0.976
All	1	loccoer	H1B1G3	0.046	445	-0.146	0.328	0.657345564750845	0.999219715525351	1
All	1	midfront	H1B1G3	0.046	445	-0.217	0.311	0.486934032537462	0.887510231238763	0.99
All	1	suptemp	H1B1G3	0.046	445	0.061	0.31	0.844110551894916	0.999219715525351	1
All	1	CTEstage	H1B1G3	0.046	444	-0.343	0.306	0.26269991238468	0.560426479753984	0.629
All	1	subnigra	H1B1G3	0.046	445	0.231	0.314	0.461332949360189	0.882549990080362	0.983
All	1	AT8PositiveTissue	H1B1G3	0.046	445	-0.165	0.265	0.534056035175445	0.792799286946685	0.92
All	1	CTE	H1B1G4	0.001	445	-14.221	535.412	0.978822985094174	0.990958500899745	0.998941798941799
All	1	DementiaHx	H1B1G4	0.001	428	-16.562	882.744	0.98504040939311	0.990958500899745	1
All	1	amygdala	H1B1G4	0.001	445	-12.738	0.035	0.880143867776631	0.999219715525351	0.965
All	1	CA1	H1B1G4	0.001	445	-13.003	0.065	0.97787906177466	0.999219715525351	0.995
All	1	CA2	H1B1G4	0.001	445	-11.523	0.234	0.991988998734693	0.999219715525351	1
All	1	CA4	H1B1G4	0.001	445	-12.509	0.06	0.850954230443441	0.999219715525351	0.958
All	1	entorhinal	H1B1G4	0.001	445	0.28	1.822	0.878035726574404	0.999219715525351	0.965
All	1	inforbfront	H1B1G4	0.001	445	-12.382	0.012	0.436634122526639	0.87932280190647	0.708
All	1	infpar	H1B1G4	0.001	445	-12.606	0.259	0.992000148507629	0.999219715525351	1
All	1	loccoer	H1B1G4	0.001	445	-0.558	1.759	0.751457034614793	0.999219715525351	0.941
All	1	midfront	H1B1G4	0.001	445	-14.051	0.021	0.868483929318531	0.999219715525351	0.962
All	1	suptemp	H1B1G4	0.001	445	-13.682	0.051	0.990314366522955	0.999219715525351	0.999
All	1	CTEstage	H1B1G4	0.001	444	-13.275	0	0	0	0
All	1	subnigra	H1B1G4	0.001	445	-11.304	0.021	0.55717087474144	0.918261884893183	0.842
All	1	AT8PositiveTissue	H1B1G4	0.001	445	0.341	1.699	0.841035198185345	0.961183083640394	0.960846560846561
All	1	CTE	H1B2G1	0.284	445	-0.407	0.174	0.0194535195416412	0.165220932079876	0.058
All	1	DementiaHx	H1B2G1	0.283	428	-0.261	0.202	0.196088144396557	0.473502214116357	0.469
All	1	amygdala	H1B2G1	0.284	445	-0.15	0.143	0.297469127283309	0.727146755581422	0.875
All	1	CA1	H1B2G1	0.284	445	0.045	0.141	0.746867841679857	0.999219715525351	1
All	1	CA2	H1B2G1	0.284	445	-0.016	0.144	0.909676313056061	0.999219715525351	1
All	1	CA4	H1B2G1	0.284	445	0.049	0.145	0.737172038113213	0.999219715525351	1
All	1	entorhinal	H1B2G1	0.284	445	-0.165	0.149	0.269852900027768	0.68595376314072	0.84
All	1	inforbfront	H1B2G1	0.284	445	-0.337	0.144	0.0196148066770778	0.13426179857956	0.113
All	1	infpar	H1B2G1	0.284	445	-0.239	0.145	0.0990598534242442	0.396239413696977	0.454
All	1	loccoer	H1B2G1	0.284	445	0.113	0.149	0.449653705520354	0.87932280190647	0.978
All	1	midfront	H1B2G1	0.284	445	-0.271	0.141	0.0563596634926005	0.261034230913097	0.281
All	1	suptemp	H1B2G1	0.284	445	-0.396	0.145	0.00680047607052048	0.0748052367757253	0.036
All	1	CTEstage	H1B2G1	0.285	444	-0.289	0.141	0.0410841584220676	0.187813295643738	0.115
All	1	subnigra	H1B2G1	0.284	445	-0.199	0.144	0.169446729579307	0.51418317941307	0.631
All	1	AT8PositiveTissue	H1B2G1	0.284	445	-0.266	0.116	0.0225115561344738	0.165220932079876	0.067
All	1	CTE	H1B3G1	0.006	445	-0.604	1.063	0.56982448749293	0.792799286946685	0.901
All	1	DementiaHx	H1B3G1	0.006	428	-1.527	1.069	0.15414988610844	0.41106636295584	0.272
All	1	amygdala	H1B3G1	0.006	445	-1.186	0.807	0.142245518986316	0.481446371953685	0.58
All	1	CA1	H1B3G1	0.006	445	-1.172	0.84	0.163785431430084	0.51418317941307	0.639
All	1	CA2	H1B3G1	0.006	445	-0.487	0.828	0.556705964621626	0.918261884893183	0.995
All	1	CA4	H1B3G1	0.006	445	-1.505	0.988	0.128378815505277	0.470722323519349	0.533
All	1	entorhinal	H1B3G1	0.006	445	-0.913	0.803	0.255694223578552	0.68595376314072	0.805
All	1	inforbfront	H1B3G1	0.006	445	-1.864	0.917	0.0426371266487187	0.220709832063956	0.184
All	1	infpar	H1B3G1	0.006	445	-1.39	0.94	0.139833818045349	0.481446371953685	0.571
All	1	loccoer	H1B3G1	0.006	445	-2.237	0.957	0.0198368753130014	0.13426179857956	0.057
All	1	midfront	H1B3G1	0.006	445	-2.274	0.903	0.0121767190024504	0.119061252468404	0.027
All	1	suptemp	H1B3G1	0.006	445	0.156	0.832	0.851306424738527	0.999219715525351	1
All	1	CTEstage	H1B3G1	0.006	444	-0.029	0.857	0.972875539925616	0.990958500899745	1
All	1	subnigra	H1B3G1	0.006	445	-0.784	0.851	0.357234600987052	0.80606781761181	0.93
All	1	AT8PositiveTissue	H1B3G1	0.006	445	-0.461	0.676	0.495624390376896	0.792799286946685	0.798
All	1	CTE	H2A1G2	0.131	445	0.525	0.254	0.0394400044771992	0.187813295643738	0.115
All	1	DementiaHx	H2A1G2	0.13	428	-0.266	0.274	0.33219811649843	0.625314101644104	0.753
All	1	amygdala	H2A1G2	0.131	445	-0.373	0.192	0.0525294738670616	0.256810761127857	0.285
All	1	CA1	H2A1G2	0.131	445	-0.307	0.193	0.112779063011874	0.431502501958474	0.491
All	1	CA2	H2A1G2	0.131	445	-0.397	0.195	0.0422682135259689	0.220709832063956	0.239
All	1	CA4	H2A1G2	0.131	445	-0.586	0.192	0.00246571503623572	0.0699374267689139	0.025
All	1	entorhinal	H2A1G2	0.131	445	-0.223	0.197	0.25884712154075	0.68595376314072	0.806
All	1	inforbfront	H2A1G2	0.131	445	-0.009	0.189	0.961123635671069	0.999219715525351	1
All	1	infpar	H2A1G2	0.131	445	-0.013	0.19	0.944047407040266	0.999219715525351	1
All	1	loccoer	H2A1G2	0.131	445	-0.338	0.188	0.0721111604750206	0.317289106090091	0.368
All	1	midfront	H2A1G2	0.131	445	0.062	0.188	0.741347130820236	0.999219715525351	0.999
All	1	suptemp	H2A1G2	0.131	445	-0.04	0.197	0.83748922661886	0.999219715525351	1
All	1	CTEstage	H2A1G2	0.132	444	0.292	0.183	0.111710420489537	0.357473345566518	0.323
All	1	subnigra	H2A1G2	0.131	445	-0.441	0.186	0.0183669727525708	0.13426179857956	0.119
All	1	AT8PositiveTissue	H2A1G2	0.131	445	0.23	0.157	0.142800749167993	0.41106636295584	0.398
All	1	CTE	H2A2G2	0.038	445	-0.304	0.402	0.450320737870605	0.758434926939966	0.855
All	1	DementiaHx	H2A2G2	0.04	428	-0.112	0.454	0.804496820283834	0.953477712928988	0.995
All	1	amygdala	H2A2G2	0.038	445	0.24	0.341	0.48106686626131	0.887510231238763	0.98
All	1	CA1	H2A2G2	0.038	445	0.188	0.326	0.563478883911726	0.918261884893183	0.995
All	1	CA2	H2A2G2	0.038	445	-0.219	0.344	0.524476611802057	0.904979251736883	0.987
All	1	CA4	H2A2G2	0.038	445	-0.086	0.329	0.794864243724003	0.999219715525351	1
All	1	entorhinal	H2A2G2	0.038	445	-0.013	0.345	0.971025092135255	0.999219715525351	1
All	1	inforbfront	H2A2G2	0.038	445	0.056	0.321	0.86131050110633	0.999219715525351	1
All	1	infpar	H2A2G2	0.038	445	-0.298	0.323	0.356300941814618	0.80606781761181	0.917
All	1	loccoer	H2A2G2	0.038	445	-0.016	0.329	0.960919551440206	0.999219715525351	1
All	1	midfront	H2A2G2	0.038	445	-0.095	0.318	0.766491563555548	0.999219715525351	1
All	1	suptemp	H2A2G2	0.038	445	-0.246	0.323	0.44673634371837	0.87932280190647	0.969
All	1	CTEstage	H2A2G2	0.038	444	-0.174	0.338	0.606029200696413	0.808038934261884	0.952
All	1	subnigra	H2A2G2	0.038	445	0.371	0.338	0.272053580998228	0.68595376314072	0.813
All	1	AT8PositiveTissue	H2A2G2	0.038	445	-0.169	0.28	0.546080813303916	0.792799286946685	0.918
All	1	CTE	H1_dosage	0.817	456	-0.335	0.236	0.15667272374437	0.510095289470872	0.454
All	1	DementiaHx	H1_dosage	0.818	438	0.224	0.258	0.386258100987327	0.510095289470872	0.811
All	1	amygdala	H1_dosage	0.817	456	0.251	0.183	0.172014630495241	0.574397773955668	0.655
All	1	CA1	H1_dosage	0.817	456	0.252	0.183	0.168825777609115	0.574397773955668	0.65
All	1	CA2	H1_dosage	0.817	456	0.383	0.183	0.036965587942464	0.438100506982635	0.191
All	1	CA4	H1_dosage	0.817	456	0.462	0.182	0.0112733998719909	0.358328460233989	0.069
All	1	entorhinal	H1_dosage	0.817	456	0.17	0.187	0.363241787002134	0.699248095589446	0.935
All	1	inforbfront	H1_dosage	0.817	456	-0.006	0.178	0.974568030498959	0.974568030498959	1
All	1	infpar	H1_dosage	0.817	456	0.093	0.178	0.602119111433232	0.849142336636609	1
All	1	loccoer	H1_dosage	0.817	456	0.251	0.184	0.174584741696046	0.574397773955668	0.663
All	1	midfront	H1_dosage	0.817	456	-0.038	0.178	0.830829478284437	0.951992110534251	1
All	1	suptemp	H1_dosage	0.817	456	0.07	0.183	0.702328721920192	0.931130249979733	1
All	1	CTEstage	H1_dosage	0.817	455	-0.217	0.174	0.21377255578374	0.510095289470872	0.563
All	1	subnigra	H1_dosage	0.817	456	0.255	0.179	0.156784514493136	0.574397773955668	0.629
All	1	AT8PositiveTissue	H1_dosage	0.817	456	-0.143	0.149	0.336453145450373	0.510095289470872	0.757
All	1	CTE	H1_beta_dosage	1.143	456	-0.257	0.13	0.0478932377794308	0.510095289470872	0.13
All	1	DementiaHx	H1_beta_dosage	1.143	438	-0.022	0.148	0.879493644808283	0.879493644808283	0.999
All	1	amygdala	H1_beta_dosage	1.143	456	-0.034	0.104	0.745713704746862	0.931130249979733	1
All	1	CA1	H1_beta_dosage	1.143	456	0.057	0.102	0.5783956587442	0.849142336636609	0.998
All	1	CA2	H1_beta_dosage	1.143	456	0.074	0.104	0.476352791582674	0.77057069226609	0.981
All	1	CA4	H1_beta_dosage	1.143	456	0.115	0.103	0.267315750599742	0.699248095589446	0.813
All	1	entorhinal	H1_beta_dosage	1.143	456	-0.082	0.108	0.443938901123504	0.760767619140413	0.973
All	1	inforbfront	H1_beta_dosage	1.143	456	-0.181	0.103	0.079473083001566	0.574397773955668	0.351
All	1	infpar	H1_beta_dosage	1.143	456	-0.096	0.103	0.349493591137451	0.699248095589446	0.915
All	1	loccoer	H1_beta_dosage	1.143	456	0.09	0.106	0.394121653877688	0.699248095589446	0.947
All	1	midfront	H1_beta_dosage	1.143	456	-0.175	0.102	0.0866114171013845	0.574397773955668	0.381
All	1	suptemp	H1_beta_dosage	1.143	456	-0.101	0.105	0.338783279705617	0.699248095589446	0.904
All	1	CTEstage	H1_beta_dosage	1.144	455	-0.163	0.101	0.105661889239145	0.510095289470872	0.288
All	1	subnigra	H1_beta_dosage	1.143	456	-0.029	0.103	0.778763481801231	0.931130249979733	1
All	1	AT8PositiveTissue	H1_beta_dosage	1.143	456	-0.159	0.084	0.0587526838924606	0.510095289470872	0.158
All	1	CTE	H2_alpha_dosage	0.26	456	0.156	0.163	0.339773586068874	0.510095289470872	0.753
All	1	DementiaHx	H2_alpha_dosage	0.261	438	-0.13	0.178	0.466937172417966	0.549337849903489	0.869
All	1	amygdala	H2_alpha_dosage	0.26	456	-0.126	0.129	0.328530818467901	0.699248095589446	0.904
All	1	CA1	H2_alpha_dosage	0.26	456	-0.129	0.128	0.312616878212881	0.699248095589446	0.889
All	1	CA2	H2_alpha_dosage	0.26	456	-0.231	0.129	0.0739353581061204	0.574397773955668	0.349
All	1	CA4	H2_alpha_dosage	0.26	456	-0.263	0.127	0.0396696261975751	0.438100506982635	0.208
All	1	entorhinal	H2_alpha_dosage	0.26	456	-0.091	0.132	0.491832111331631	0.772879032092563	0.99
All	1	inforbfront	H2_alpha_dosage	0.26	456	0.006	0.126	0.960871262141966	0.974568030498959	1
All	1	infpar	H2_alpha_dosage	0.26	456	-0.093	0.125	0.456460571484248	0.760767619140413	0.982
All	1	loccoer	H2_alpha_dosage	0.26	456	-0.122	0.131	0.349635830671483	0.699248095589446	0.92
All	1	midfront	H2_alpha_dosage	0.26	456	0.023	0.124	0.850343565746495	0.954467267674637	1
All	1	suptemp	H2_alpha_dosage	0.26	456	-0.036	0.126	0.774715236064561	0.931130249979733	1
All	1	CTEstage	H2_alpha_dosage	0.261	455	0.131	0.124	0.29009816278309	0.510095289470872	0.691
All	1	subnigra	H2_alpha_dosage	0.26	456	-0.111	0.127	0.385723342790239	0.699248095589446	0.947
All	1	AT8PositiveTissue	H2_alpha_dosage	0.26	456	0.063	0.106	0.550369707994522	0.611521897771691	0.919
All	1	CTE	H1_gamma_dosage	1.055	456	-0.112	0.12	0.352831877340195	0.510095289470872	0.777
All	1	DementiaHx	H1_gamma_dosage	1.055	438	-0.122	0.138	0.376230232249893	0.510095289470872	0.803
All	1	amygdala	H1_gamma_dosage	1.055	456	0.064	0.099	0.520130621380614	0.794644004887049	0.991
All	1	CA1	H1_gamma_dosage	1.055	456	-0.028	0.097	0.771014434047393	0.931130249979733	1
All	1	CA2	H1_gamma_dosage	1.055	456	0.158	0.099	0.111428113322024	0.574397773955668	0.483
All	1	CA4	H1_gamma_dosage	1.055	456	0.138	0.1	0.169418625165757	0.574397773955668	0.638
All	1	entorhinal	H1_gamma_dosage	1.055	456	-0.016	0.102	0.872250120329289	0.959475132362218	1
All	1	inforbfront	H1_gamma_dosage	1.055	456	-0.012	0.098	0.900122177088574	0.970719994899442	1
All	1	infpar	H1_gamma_dosage	1.055	456	-0.032	0.098	0.744333557135693	0.931130249979733	1
All	1	loccoer	H1_gamma_dosage	1.055	456	0.092	0.101	0.35928674857547	0.699248095589446	0.929
All	1	midfront	H1_gamma_dosage	1.055	456	-0.084	0.096	0.384445834061728	0.699248095589446	0.946
All	1	suptemp	H1_gamma_dosage	1.055	456	-0.009	0.097	0.927984103690145	0.974568030498959	1
All	1	CTEstage	H1_gamma_dosage	1.054	455	-0.148	0.094	0.115566309746321	0.510095289470872	0.335
All	1	subnigra	H1_gamma_dosage	1.055	456	0.126	0.098	0.198428321911958	0.574397773955668	0.702
All	1	AT8PositiveTissue	H1_gamma_dosage	1.055	456	-0.02	0.081	0.799842948652969	0.841939945950494	0.997
All	1	CTE	H2_gamma_dosage	0.363	456	0.17	0.119	0.152990929143799	0.510095289470872	0.443
All	1	DementiaHx	H2_gamma_dosage	0.362	438	-0.107	0.13	0.408076231576698	0.510095289470872	0.832
All	1	amygdala	H2_gamma_dosage	0.363	456	-0.123	0.092	0.180171719966451	0.574397773955668	0.676
All	1	CA1	H2_gamma_dosage	0.363	456	-0.123	0.092	0.180281501522133	0.574397773955668	0.676
All	1	CA2	H2_gamma_dosage	0.363	456	-0.19	0.092	0.0398273188166032	0.438100506982635	0.199
All	1	CA4	H2_gamma_dosage	0.363	456	-0.227	0.091	0.0130301258266905	0.358328460233989	0.078
All	1	entorhinal	H2_gamma_dosage	0.363	456	-0.085	0.094	0.3637109833056	0.699248095589446	0.94
All	1	inforbfront	H2_gamma_dosage	0.363	456	0.007	0.09	0.94034431909443	0.974568030498959	1
All	1	infpar	H2_gamma_dosage	0.363	456	-0.048	0.089	0.591224042235606	0.849142336636609	0.998
All	1	loccoer	H2_gamma_dosage	0.363	456	-0.122	0.093	0.188334633651381	0.574397773955668	0.698
All	1	midfront	H2_gamma_dosage	0.363	456	0.019	0.089	0.830444674602845	0.951992110534251	1
All	1	suptemp	H2_gamma_dosage	0.363	456	-0.033	0.092	0.719709739570441	0.931130249979733	1
All	1	CTEstage	H2_gamma_dosage	0.364	455	0.107	0.087	0.219730938192419	0.510095289470872	0.579
All	1	subnigra	H2_gamma_dosage	0.363	456	-0.127	0.09	0.159323372128904	0.574397773955668	0.631
All	1	AT8PositiveTissue	H2_gamma_dosage	0.363	456	0.074	0.075	0.3254481341129	0.510095289470872	0.738
